suspected_cases,suspected_deaths
648,430
812,517
861,557
862,555
936,595
942,601
1008,632
1022,635
1026,422
1074,648
1157,710
1199,739
1261,491
1298,768
1350,778
1361,509
1378,694
1424,524
1472,843
1519,862
1540,904
1553,926
1620,562
1667,1018
1673,562
1731,1041
1813,593
1871,1089
1878,1142
1906,997
1940,597
2021,605
2046,1224
2047,1214
2081,1137
2304,622
2407,1296
2437,623
2597,1607
2630,1654
2695,1697
2706,1708
2707,1709
2710,1459
2730,1739
2769,1767
2775,1781
2789,879
2950,930
3022,1578
3252,1183
3280,1677
3410,1200
3458,1830
3696,1998
3706,1259
3834,2069
3896,1281
3924,2210
4076,2316
4249,2458
6525,2697
6535,2413
6619,2766
6822,2836
6878,2812
7069,2964
7168,3016
7862,3384
7977,3413
8018,3423
8115,3471
8157,3496
